id,name,age,city,income
0,Ishmael,44,Cleveland,83899
1,Matthew,42,Youngstown,94782
2,Steve,53,Youngstown,103940
3,Nathan,31,Cleveland,48285
4,Jeff,41,Columbus,70327
5,Sarah,82,Columbus,82676
6,Hector,38,Dayton,112619
7,Jeff,18,Akron,87367
8,Zoey,73,Columbus,120102
9,Admira,36,Dayton,46704
10,Steve,88,Dayton,59273
11,Beetlejuice,49,Cincinnati,85858
12,Hector,20,Dayton,94478
13,Matthew,26,Cincinnati,113424
14,Desdemona,68,Dayton,91516
15,Lin,68,Toledo,68269
16,Will,51,Cleveland,89266
17,Jen,21,Cleveland,100995
18,Ryan,29,Cincinnati,60508
19,Paige,22,Toledo,63058
20,Brianna,61,Youngstown,33425
21,Bill,90,Akron,39483
22,Galahad,84,Cleveland,80001
23,Ryan,45,Dayton,119304
24,Bill,32,Cleveland,34063
25,Ishmael,39,Cleveland,55461
26,Leia,64,Cleveland,95527
27,Hector,46,Youngstown,84580
28,Eric,68,Toledo,76639
29,Ryan,29,Toledo,90319
30,Helena,37,Toledo,80476
31,Atticus,26,Cleveland,120341
32,Ryan,78,Akron,97901
33,Leia,63,Akron,117178
34,Brianna,45,Akron,38618
35,William,22,Dayton,57174
36,Admira,80,Columbus,35486
37,Beetlejuice,56,Columbus,102837
38,Matthew,48,Cleveland,35346
39,Peter,80,Dayton,79566
40,Atticus,60,Youngstown,84302
41,Paige,78,Youngstown,62270
42,Zoey,45,Cleveland,32580
43,Leia,56,Toledo,50376
44,Atticus,29,Youngstown,75816
45,Julianna,65,Dayton,85182
46,Will,90,Toledo,51219
47,Becky,38,Dayton,61600
48,Will,57,Cleveland,35623
49,Galahad,48,Akron,68795
50,Bill,52,Cincinnati,64402
51,William,81,Cincinnati,53207
52,Will,34,Columbus,50156
53,Jen,86,Akron,74572
54,Matthew,30,Cleveland,76869
55,Paige,72,Toledo,115127
56,Desdemona,52,Columbus,72005
57,Desdemona,39,Toledo,83916
58,Terry,82,Dayton,73275
59,Eric,23,Cleveland,40920
60,Ishmael,65,Toledo,74870
61,William,65,Cincinnati,46789
62,Jen,57,Cincinnati,34119
63,Beetlejuice,27,Toledo,91825
64,Eric,92,Dayton,77656
65,Tim,73,Youngstown,97155
66,Will,74,Columbus,107387
67,Leia,80,Cincinnati,89193
68,Kylo,23,Cincinnati,46572
69,Vivian,35,Youngstown,34650
70,Desdemona,17,Cincinnati,104456
71,Peter,29,Akron,84175
72,Kylo,92,Dayton,102863
73,Ryan,76,Akron,121969
74,Beetlejuice,40,Youngstown,85124
75,Brianna,31,Cincinnati,110115
76,Peter,24,Akron,95235
77,Leia,74,Akron,43655
78,Terri,44,Akron,114189
79,Karli,78,Akron,98390
80,Helena,57,Youngstown,31222
81,William,78,Akron,38880
82,Becky,29,Akron,46349
83,Galahad,84,Toledo,94397
84,Will,58,Youngstown,86700
85,Julianna,36,Youngstown,79302
86,Galahad,29,Cleveland,60631
87,Ishmael,75,Columbus,39932
88,Becky,50,Toledo,69391
89,Aaliyah,92,Cleveland,60552
90,Leia,83,Akron,69212
91,Terri,61,Toledo,81868
92,Aaliyah,24,Cleveland,64117
93,Beetlejuice,59,Akron,38809
94,Aaliyah,48,Cleveland,55632
95,Zoey,79,Dayton,78696
96,Helena,85,Akron,105994
97,Becky,53,Toledo,82658
98,Bill,58,Youngstown,67257
99,Zoey,33,Cincinnati,116055
100,Galahad,32,Akron,93971
101,Kylo,65,Toledo,33559
102,Hector,78,Akron,83294
103,Chris,42,Youngstown,36218
104,Bill,40,Youngstown,117077
105,Brianna,48,Columbus,118009
106,Atticus,52,Akron,70775
107,Jen,18,Toledo,106050
108,Steve,26,Youngstown,42273
109,William,78,Cincinnati,104469
110,Becky,17,Cincinnati,83463
111,Bill,34,Toledo,61590
112,Karli,16,Columbus,34166
113,Jen,74,Akron,82903
114,Desdemona,37,Columbus,110711
115,Eric,58,Dayton,114609
116,Julianna,78,Cincinnati,115334
117,Ishmael,81,Cleveland,55288
118,Aaliyah,35,Cincinnati,61886
119,William,56,Dayton,100224
120,Will,27,Cincinnati,59383
121,William,34,Akron,40091
122,Helena,72,Dayton,91538
123,Ryan,19,Youngstown,111849
124,Beetlejuice,74,Toledo,74361
125,Will,54,Akron,86127
126,Karli,76,Toledo,31161
127,Terri,38,Dayton,53614
128,Atticus,23,Akron,64937
129,Desdemona,51,Youngstown,49536
130,Ryan,88,Akron,120248
131,Chris,68,Akron,46156
132,Lin,90,Akron,95004
133,Vivian,81,Akron,53831
134,Brianna,21,Akron,105813
135,Morticia,92,Toledo,91003
136,TJ,28,Cleveland,35807
137,Jeff,24,Dayton,81073
138,Jen,73,Akron,67136
139,Bill,73,Dayton,83711
140,Morticia,17,Cleveland,87925
141,Will,88,Cleveland,117099
142,Peter,52,Akron,30352
143,TJ,22,Columbus,67653
144,Brianna,30,Akron,72174
145,Matthew,31,Cincinnati,62143
146,Kylo,52,Youngstown,42538
